24	6	E010	Билет неисправен. Обратитесь в пассажирское агентство Метрополитена. Тел.: 8 (495) 688-02-61	2 - проблемы с картой (метро)	24, 6, E010	"Введенный Вами номер карты «Тройка» отклонен системой. Пожалуйста, обратитесь в сервисный центр «Московский транспорт» 8 (495) 539 54 54 или службу техподдержки АГ с кодом: С,D,M"	BLOCKED_TICKET 	ЭБ находится в черном списке	Проинформировать Покупателя о невозможности работы с данным ЭБ.	Билет неисправен. Обратитесь в пассажирское агентство Метрополитена. Тел.: 8 (495) 688-02-61
24	6	E011	Работа с картой невозможна. Обратитесь в пассажирское агентство Метрополитена. Тел.: 8 (495) 688-02-61	2 - проблемы с картой (метро)	24, 6, E011	"Введенный Вами номер карты «Тройка» отклонен системой. Пожалуйста, обратитесь в сервисный центр «Московский транспорт» 8 (495) 539 54 54 или службу техподдержки АГ с кодом: С,D,M"	BITMAP_FORMAT_ERROR 	Ошибка формата битмэпа на Носителе	Проинформировать Покупателя о невозможности работы с данной картой.	Работа с картой невозможна. Обратитесь в пассажирское агентство Метрополитена. Тел.: 8 (495) 688-02-61
24	6	E012	Техническая ошибка, обратитесь в службу технической поддержки банка.	4 - прочие ошибки (повторить позже)	24, 6, E012	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)	WRONG_TICKET_PARAMS 	Недопустимые прочие параметры приобретаемого билета (кроме Type, Service и ResourceAmount).	Проинформировать Покупателя о невозможности приобрести ЭБ с такими параметрами.	
24	6	E013	Недопустимая сумма пополнения.	4 - прочие ошибки (повторить позже)	24, 6, E013	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)	WRONG_RESOURCE_AMOUNT 	Для приобретаемого ЭБ указано слишком большое, либо слишком маленькое значение ResourceAmount, либо это значение противоречит описанию билета (скажем, указано значение, противоречащее фиксированному в справочнике значению для данного ЭБ)	Проинформировать Покупателя о невозможности приобрести ЭБ с таким значением ResourceAmount.	
24	6	E014	Билет записан на карту, денежные средства возврату не подлежат	4 - прочие ошибки (повторить позже)	24, 6, E014	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)	REFUND_DENIED 	ЭБ уже записан на карту и платеж за него невозможно вернуть.	Проинформировать Покупателя о невозможности вернуть этот платеж.	
24	6	E015	Техническая ошибка, обратитесь в службу технической поддержки банка.	4 - прочие ошибки (повторить позже)	24, 6, E015	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)	PAYMENT_ID_EXISTS 	Уже существует платеж с таким идентификатором		
24	6	E016	Техническая ошибка	4 - прочие ошибки (повторить позже)	24, 6, E016	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)	UNKNOWN_PAYMENT_ID 	Платеж с таким идентификатором не найден		
24	6	E017	Техническая ошибка, обратитесь в службу технической поддержки банка.	4 - прочие ошибки (повторить позже)	24, 6, E017	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)	WRONG_PAYMENT_ID 	Недопустимое для операции состояние платежа		
24	6	E018	Техническая ошибка	4 - прочие ошибки (повторить позже)	24, 6, E018	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)	WRONG_TICKETS_WRITE_ID 	Неверный идентификатор сессии записи на Носитель		
24	6	E019	Техническая ошибка	4 - прочие ошибки (повторить позже)	24, 6, E019	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)	WRONG_CARD_SESSION_ID	Неверный идентификатор сессии записи на Носитель		
